,0
0,@Danielmaran0 You can use a app that tells you who is not following you. I use unfollower stats.
1,"✨ Stolen Kiss

Deeznutstk would kiss you around the corner... 😏
And you, who would do it?

➡️ https://t.co/llDPeQ5vSy https://t.co/7dcTbshn7c"
2,"“There are two different kinds of ninja. Those like you who are born with a natural talent &amp; do not have to work at it &amp; those like me! The ones who have to train everyday of our lives!” - Rock Lee 

New drip from @hypland 🥷🏽 https://t.co/T19o1BkAv8"
3,"@thereidout @JRubinBlogger They have literally said they would prefer to die than compromise with Democrats. 

When someone shows you who they are, believe them."
4,"✨ Stolen Kiss

KR1SHIEIJI would kiss you around the corner... 😏
And you, who would do it?

➡️ https://t.co/FRXFT3os5H https://t.co/l2YzeGFk08"
5,"Annie, Jesus said come to Me all you who are heavy laden ( depressed) and I will give you rest. Lay your burdens on Him, He loves you because you are His precious child. God give you peace! https://t.co/fgWjORb51y"
6,"unlike you, who have to go through 'Marriage' to acquire his last name, i will obtain his last name by slaying him on the top of a mountain and taking it for my own"
7,"I just realized something... if you live with a roommate who keeps letting some asshole live with you who keeps stealing from him and moving back in over and over, you can basically steal whatever you want. Everything in the house now belongs to you."
8,"@RWMaloneMD We are living in sad times, but thank God we have scientist like you who stand behind their convictions!"
9,"✨ New Year's Kiss

I'm preparing my best last year kiss and first of the next year KAW4GAR1 😘💕
And you, who will you kiss at midnight?

➡️ https://t.co/gaqoUjszbP https://t.co/pVthwVvVKm"
10,"@mixedracemagic @BritniDWrites @SincerelyTops So. Why do I get to gate keep an identity that had always included a wide range of skin tones?

Simply because YOU who admits or at least says you don't present as Black, believe anyone with mixed race should be excluded. https://t.co/vZIeAGMyCH"
11,"@anoepiphany now ur saying that, ur really desperate to find ways to slander them. They will grow even more. Their growth isnt in a fast pace, but one day more people will recognize their talent and music. ig unlike you who's jobless with no life"
12,"This from the man who tells you who you can have in your own home. 
Another rules for thee but not for me ruler right here. https://t.co/4KkuFt7EZY"
13,@caroljsroth It’s people like you who keep most of us on @twitter.
14,"✨ Stolen Kiss

Henry_Stickmin_ would kiss you around the corner... 😏
And you, who would do it?

➡️ https://t.co/qGrXzg94k2 https://t.co/Sge4QQScGz"
15,@ratattatattata2 I think its you who ned a brain.. im literally trying to explain to you and giving you both sides of the story with those threads but just cant seem to read it 🤷‍♀️ im not gonna argue with someone who cant give me facts and points. Keep it up defending YD!! Goodluck tho
16,"@ActivateLearn Yes. And while it's galling to a lot of us, it must have an extra flavour for someone like you who did serve."
17,"Getting your COVID-19 vaccine isn’t just about keeping you healthy; it’s also about protecting everyone around you who could become very sick from COVID-19.

Get your vaccine: https://t.co/jFSppSuYCx. https://t.co/gxGV1DcSLk"
18,"As if it’s been promised, I mumble by myself in front of you, who can’t hear
I want to go to you"
19,"When someone shows you who they are, believe them the first time."
20,"@VariantTiresias @arizona_bonnie @anthonyzenkus @IbaraEleven @SenSchumer @AdelphiU @Columbia Don't be stupid. I don't think either is worth losing sleep over. It's people like you who are convinced that this is something beause people like Zenkus-no friend to women at all-tell you nonsense. Children don't like adults, no crime."
21,"✨ New Year's Kiss

I'm preparing my best last year kiss and first of the next year _Charles_Calvin 😘💕
And you, who will you kiss at midnight?

➡️ https://t.co/bEvpY2PdTA https://t.co/olE6nbFfgY"
22,"@Sunshin00252093 @Hollywo30274033 @molejoels14 @MaajidNawaz Don’t forget to fight for the freedom of the nurses and doctors you expect to care for you, who will be exposed to high viral loads of COVID every day. For Australian healthcare workers, their struggle may only just be beginning if we don’t get high vaccination rates."
23,"@Boboog1 It’s called brotherly love, if I nor care fr you who will?"
24,@patriottakes Well he can ride a bike &amp; run unlike you who couldn’t even walk down a ramp
25,👇🏼👇🏼👇🏼👇🏼👇🏼👇🏼 it is you who has to give up snake 🐍 !!!!  Ozan doesn't love you https://t.co/jHmdkGPuQ2
26,"@beloved_june Maybe it’ll happen for you, who knows.  I’m 10-11 years in and really starting to have fun in life."
27,"@marinasmigielsk Yeah.....so cool... Good for you, who gives a shit, you didn't provide any proof.... Just gave some silly made up titles for crazy liberals..."
28,"@laurenboebert Hey Bobo, the people that want to come here could make significant contributions to our country as previous immigrants have. Of course, there are exceptions to this, e.g., people like you who are very unproductive."
29,"de: anônimo 
para: @sIipipoca 

i say it's you who wipe my tears and brings the light into my darkness"
30,"✨ New Year's Kiss

I'm preparing my best last year kiss and first of the next year TheNotoriousHRT 😘💕
And you, who will you kiss at midnight?

➡️ https://t.co/4ADkmcfbSR https://t.co/2z2nEQ1ByL"
31,"“Come to me all you who are weary and burdened and I will give you rest. Take my yoke upon you and learn from me for I am gentle and humble of heart and you will find rest for your souls. For my yoke is easy and my burden is light.”
- Matthew 11:28-30"
32,@EngelsFreddie @Sethrogen Does that mean you’re a moron for trying to correct someone on social media only to find out that it’s you who doesn’t know what they’re talking about?  Maybe actually use your brain before trying to be “smart” next time lol…
33,"@beakemi Sometimes it's hard to open up to people. They might listen but (some of them) will not understand (the pain).

But it's always great to know that there are still people like you who are willing to listen. That's a huge help. 😊"
34,"@luvyouneighbor @johnpavlovitz I am a Christian, you're lying again.  I rebuke homophobes, people like you who do not follow Christ's teachings on anything.  You are lying again.  Don't you know that telling lies is a sin?"
35,the stars would be so proud to know that their atoms created someonelike you who manages to complement you in every way
36,"✨ Stolen Kiss

bananabiemilk would kiss you around the corner... 😏
And you, who would do it?

➡️ https://t.co/O7JSCjON46 https://t.co/5aSOhhUBj9"
